Date;Open;High;Low;Close;Adj Close;Volume
17/06/2019;50.380.001;51.049.999;50.139.999;50.470.001;49.751.762;6846000
18/06/2019;50.849.998;52.049.999;50.779.999;51.650.002;50.914.970;12212600
19/06/2019;51.500.000;52.500.000;51.110.001;52.500.000;51.752.872;7964300
21/06/2019;52.599.998;53.500.000;52.599.998;52.910.000;52.157.040;14645400
24/06/2019;52.990.002;53.900.002;52.639.999;53.040.001;52.285.191;9033600
25/06/2019;52.799.999;53.599.998;52.250.000;52.549.999;51.802.158;15682100
26/06/2019;52.980.000;53.730.000;52.700.001;53.689.999;52.925.934;13012300
27/06/2019;53.200.001;54.169.998;52.939.999;53.799.999;53.034.370;13513800
28/06/2019;54.279.999;54.279.999;53.349.998;53.939.999;53.172.379;14197400
01/07/2019;54.560.001;54.669.998;53.509.998;53.880.001;53.113.235;8283200
02/07/2019;53.720.001;54.250.000;52.770.000;53.189.999;52.433.052;10586200
03/07/2019;53.400.002;54.299.999;52.529.999;54.299.999;53.527.252;11861800
04/07/2019;54.790.001;55.180.000;54.680.000;55.180.000;54.394.733;9167100
05/07/2019;55.000.000;55.369.999;54.320.000;55.000.000;54.217.293;9391600
08/07/2019;55.189.999;55.349.998;54.820.000;54.950.001;54.168.007;6567500
10/07/2019;55.599.998;55.700.001;53.790.001;54.259.998;53.487.823;12529600
11/07/2019;54.130.001;54.130.001;52.810.001;53.200.001;52.442.913;14656000
12/07/2019;53.520.000;53.619.999;51.799.999;52.000.000;51.259.991;12738500
15/07/2019;52.209.999;52.389.999;51.060.001;51.689.999;50.954.395;10708500
16/07/2019;52.000.000;52.189.999;51.509.998;51.770.000;51.033.264;10351100
17/07/2019;51.799.999;52.169.998;51.509.998;51.779.999;51.043.118;6912500
18/07/2019;51.970.001;53.250.000;51.869.999;52.660.000;51.910.595;12461000
19/07/2019;52.250.000;52.950.001;52.000.000;52.000.000;51.259.991;8849700
22/07/2019;52.480.000;52.660.000;51.970.001;52.009.998;51.269.844;6388400
23/07/2019;52.270.000;52.380.001;51.400.002;51.400.002;50.668.530;12670600
24/07/2019;51.560.001;52.650.002;51.470.001;52.330.002;51.585.293;15387500
25/07/2019;52.380.001;52.520.000;50.060.001;50.119.999;49.406.738;17712000
26/07/2019;50.799.999;50.810.001;49.930.000;50.000.000;49.288.452;8108800
29/07/2019;50.150.002;50.639.999;49.820.000;50.450.001;49.732.044;5092200
30/07/2019;50.220.001;50.700.001;49.110.001;49.939.999;49.229.301;9245000
31/07/2019;50.099.998;50.200.001;49.200.001;49.220.001;48.519.550;11333700
01/08/2019;49.799.999;50.470.001;48.689.999;48.750.000;48.056.236;14858500
02/08/2019;48.750.000;49.349.998;48.000.000;48.759.998;48.066.097;8303900
05/08/2019;47.740.002;48.759.998;47.419.998;47.849.998;47.169.044;8485400
06/08/2019;48.490.002;49.070.000;48.209.999;48.500.000;47.809.799;8574100
07/08/2019;48.299.999;48.779.999;47.549.999;48.450.001;47.760.509;11418500
08/08/2019;49.639.999;49.680.000;48.470.001;48.799.999;48.105.526;12180400
09/08/2019;48.860.001;49.180.000;48.299.999;48.650.002;47.957.661;8307100
12/08/2019;47.709.999;47.799.999;46.959.999;47.000.000;46.331.142;10649600
13/08/2019;46.939.999;48.250.000;46.790.001;47.549.999;46.873.314;9635700
14/08/2019;46.950.001;47.070.000;45.689.999;45.889.999;45.236.938;11501500
15/08/2019;46.150.002;46.639.999;45.250.000;45.849.998;45.197.506;10846200
16/08/2019;46.349.998;46.549.999;45.349.998;45.730.000;45.079.216;9747600
19/08/2019;46.000.000;46.689.999;44.730.000;44.830.002;44.192.028;10455600
20/08/2019;45.020.000;45.180.000;44.070.000;44.790.001;44.152.596;6599800
21/08/2019;45.869.999;47.459.999;45.740.002;47.349.998;46.676.159;13650300
22/08/2019;47.400.002;47.560.001;46.380.001;46.650.002;46.423.550;7532600
23/08/2019;46.099.998;46.540.001;44.720.001;44.950.001;44.731.800;13059000
26/08/2019;45.380.001;45.700.001;43.759.998;44.740.002;44.522.823;6997400
27/08/2019;45.349.998;45.599.998;43.439.999;44.380.001;44.164.570;12602900
28/08/2019;43.959.999;44.299.999;43.639.999;44.009.998;43.796.364;8452100
29/08/2019;44.209.999;45.220.001;44.029.999;45.080.002;44.861.172;8744900
30/08/2019;45.180.000;46.560.001;45.090.000;46.240.002;46.015.541;11986000
02/09/2019;46.240.002;46.790.001;45.400.002;45.650.002;45.428.406;5389200
03/09/2019;45.400.002;46.320.000;44.619.999;44.799.999;44.582.527;11078700
04/09/2019;45.380.001;45.930.000;44.980.000;45.860.001;45.637.383;7026800
05/09/2019;46.099.998;47.779.999;46.090.000;47.459.999;47.229.614;12359200
06/09/2019;47.900.002;49.389.999;47.900.002;49.389.999;49.150.246;14039100
09/09/2019;49.549.999;50.529.999;49.270.000;50.000.000;49.757.286;13483300
10/09/2019;50.349.998;50.500.000;48.880.001;49.160.000;48.921.364;8448200
11/09/2019;49.500.000;49.970.001;47.990.002;47.990.002;47.757.046;14094600
12/09/2019;48.320.000;48.369.999;47.400.002;48.000.000;48.000.000;10199500
13/09/2019;48.070.000;48.500.000;46.900.002;47.139.999;47.139.999;7975100
16/09/2019;47.040.001;47.560.001;46.299.999;46.650.002;46.650.002;8175500
17/09/2019;46.389.999;47.450.001;46.119.999;47.299.999;47.299.999;6744200
18/09/2019;47.459.999;48.250.000;47.160.000;48.020.000;48.020.000;8528300
19/09/2019;48.410.000;48.700.001;46.770.000;46.770.000;46.770.000;9661800
20/09/2019;47.000.000;47.980.000;46.900.002;47.509.998;47.509.998;15284500
